id,scrape_id,last_scraped,source,name,host_id,host_profile_id,host_name,hosts time as user,hosts time as host,host_listings_count,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,total stay days,total price,minimum_nights,maximum_nights,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1.07E+18,2.03E+13,4/15/2026,previous scrape,"2x Queen Rooms at Radio Hotel, New York!",501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.84775,-73.93153,Room in hotel,Hotel room,8,1.5,1.5 bath,2,1,393,1,393,1,1125,4/15/2026,1,9/1/2024,9/1/2024,5,5,5,5,5,5,3,13,0,0.05
1.07E+18,2.03E+13,4/15/2026,previous scrape,3 Pet-friendly Queen Rooms at Radio Hotel!,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.84775,-73.93153,Room in hotel,Hotel room,12,1.5,1.5 bath,3,1,589,1,589,1,1125,4/15/2026,1,7/5/2024,7/5/2024,5,5,5,4,4,4,4,13,0,0.05
1.07E+18,2.03E+13,4/15/2026,previous scrape,"4 Family-friendly Queen Rooms at Radio Hotel, NY!",501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.84775,-73.93153,Room in hotel,Hotel room,16,1.5,1.5 bath,4,1,785,1,785,1,1125,4/15/2026,2,9/15/2024,12/21/2025,5,5,5,4,5,4.5,4.5,13,0,0.1
1.06E+18,2.03E+13,4/14/2026,city scrape,Brooklyn Jewel,547471971,1.47E+18,Batsheva,"2,4","2,3",1,t,Brooklyn,40.6700874,-73.9419048,Entire home,Entire home/apt,8,1,1 bath,2,5,316.68,2,633.36,1,365,4/14/2026,62,7/29/2024,3/22/2026,4.73,4.85,4.73,4.87,4.9,4.73,4.58,0,0,2.98
1.07E+18,2.03E+13,4/15/2026,previous scrape,Deluxe Queen Room at Radio Hotel New York!,501999278,1.47E+18,RoomPicks,"3,1","3,0",2551,t,Manhattan,40.84775,-73.93153,Room in hotel,Private room,2,1.5,1 private bath,1,1,183,1,183,1,1125,4/15/2026,6,2/26/2024,12/18/2025,4,4.17,4.17,3.67,4.33,4.33,3.83,13,0,0.23
1.07E+18,2.03E+13,4/15/2026,previous scrape,Luxury NYC apartment!,555562763,1.47E+18,Louis,"2,3","2,3",2,t,Brooklyn,40.69527,-73.94806,Entire rental unit,Entire home/apt,5,1.5,2 baths,3,1,265.48,30,7964.4,30,365,4/15/2026,0,,,,,,,,,,1,0,1.17
1.06E+18,2.03E+13,4/15/2026,previous scrape,Tiny Shared Bath Private Studio Times Square #416,35491667,1.47E+18,LEAP NY Apartments,"10,10","3,9",220,t,Manhattan,40.75863,-73.99159,Entire rental unit,Entire home/apt,1,1.5,1 bath,1,1,59.13,30,1773.9,30,175,4/15/2026,4,4/13/2024,4/7/2025,4.75,5,4.5,4.25,4.75,5,4.75,0,0,0.16
1.06E+18,2.03E+13,4/15/2026,previous scrape,Tiny Shared Bath Private Studio Times Square #417,35491667,1.47E+18,LEAP NY Apartments,"10,10","3,9",220,t,Manhattan,40.75911,-73.99017,Entire rental unit,Entire home/apt,1,1.5,1 bath,1,1,59.13,30,1773.9,30,175,4/15/2026,10,6/14/2024,2/24/2026,4.5,4.8,4.5,4.4,4.8,4.8,4.3,0,0,0.45
1.06E+18,2.03E+13,4/15/2026,city scrape,Updated 3bed/2ba in the Heart of Manhattan,554728880,1.47E+18,NYC Stays,"2,3","2,2",1,t,Manhattan,40.74579328,-73.98362828,Entire serviced apartment,Entire home/apt,8,2,2 baths,3,4,656.18,2,1312.36,2,365,4/15/2026,68,1/31/2024,3/29/2026,4.65,4.72,4.65,4.72,4.78,4.87,4.6,0,0,2.53
1.07E+18,2.03E+13,4/15/2026,previous scrape,Modern room near everything.,454520414,1.46E+18,Mondell,"3,11","3,10",2,t,Queens,40.6851945,-73.7760656,Private room in home,Private room,2,1.5,1 shared bath,1,1,89.23,30,2676.9,30,30,4/15/2026,1,6/30/2025,6/30/2025,5,5,5,5,5,5,5,2,0,0.1
